Cas, vrednost

22:46:27,0

22:46:28,0

22:46:29,74

22:46:30,74

22:46:31,73

22:46:32,71

22:46:33,71

22:46:34,70

22:46:35,68

22:46:36,68

22:46:37,68

22:46:38,69

22:46:39,71

22:46:40,72

22:46:41,74

22:46:42,76

22:46:43,79

22:46:44,76

22:46:45,73

22:46:46,70

22:46:47,71

22:46:48,69

22:46:49,66

22:46:50,64

22:46:51,63

22:46:52,64

22:46:53,67

22:46:54,68

15:35:56,0
15:35:57,77
15:35:58,77
15:35:59,61
15:36:00,61
15:36:01,71
15:36:02,71
15:36:03,71
15:36:04,69
15:36:05,64
15:36:06,64
15:36:07,64
15:36:08,64
